corpus_icon,uses,decision,target,reasoning
marker,32,verify,location,"Correct match. 'marker' is already an alias of canonical 'location'."
refresh,31,verify,refresh,"Exact match to canonical name."
bug,27,verify,bug,"Exact match to canonical name."
add user,26,verify,add-user,"Correct match. Space-to-hyphen normalization; 'add-user' is the canonical name."
chat,24,verify,chat,"Exact match to canonical name."
tasks,23,verify,tasks,"Exact match to canonical name."
send,22,verify,send,"Exact match to canonical name."
calendar,22,verify,calendar,"Exact match to canonical name."
copy,21,verify,copy,"Exact match to canonical name."
home,20,verify,home,"Exact match to canonical name."
folder,17,verify,folder,"Exact match to canonical name."
warning,16,verify,warning,"Exact match to canonical name."
clock,15,verify,time,"Correct match. 'clock' is already an alias of canonical 'time'."
shop,15,verify,store,"Correct match. 'shop' is already an alias of canonical 'store'."
attach,14,verify,attachment,"Correct match. 'attach' is already an alias of canonical 'attachment'."
feed,14,verify,rss,"Correct match. 'feed' is already an alias of canonical 'rss'."
pencil,13,verify,edit,"Correct match. 'pencil' is already an alias of canonical 'edit'."
sign out,12,verify,logout,"Correct match. 'sign-out' is already an alias of canonical 'logout'."
check circle,12,verify,success,"Correct match. 'check-circle' is already an alias of canonical 'success'."
wizard,11,verify,wand,"Correct match. 'wizard' is already an alias of canonical 'wand'."
phone,11,verify,phone,"Auto-match to 'mobile' is WRONG. Canonical 'phone' exists under communication (call). SUI Classic 'phone' means telephone/call not mobile device. Should map to canonical 'phone'."
credit card,11,verify,payment,"Correct match. 'credit-card' is already an alias of canonical 'payment'."
star,11,verify,star,"Exact match to canonical name."
archive,11,verify,archive,"Exact match to canonical name."
code,10,verify,code,"Exact match to canonical name."
info,10,verify,info,"Exact match to canonical name."
money,10,verify,money,"Exact match to canonical name."
envelope,9,verify,email,"Correct match. 'envelope' is already an alias of canonical 'email'."
users,9,verify,users,"Exact match to canonical name."
hide,8,verify,hide,"Exact match to canonical name."
eye,8,verify,view,"Correct match. 'eye' is already an alias of canonical 'view'."
filter,8,verify,filter,"Exact match to canonical name."
building,8,verify,company,"Correct match. 'building' is already an alias of canonical 'company'."
list,8,verify,list,"Exact match to canonical name."
help,8,verify,help,"Exact match to canonical name."
payment,8,verify,payment,"Exact match to canonical name."
dollar,7,verify,money,"Correct match. 'dollar' is already an alias of canonical 'money'."
line chart,7,verify,chart-line,"Correct match. 'line-chart' is already an alias of canonical 'chart-line'."
exchange,7,verify,swap,"Correct match. 'exchange' is already an alias of canonical 'swap'."
caret down,7,verify,chevron-down,"Correct match. 'caret-down' is already an alias of canonical 'chevron-down'."
sidebar,7,verify,sidebar,"Exact match to canonical name."
history,6,verify,history,"Exact match to canonical name."
