# Icon Usage Report
# Corpus: /home/jack/dev/qualia/services/**/*.html
# Files scanned: 4577
# Total <i class="...icon"> hits: 6156
# Unique icon names: 477 (540 raw, 63 non-icon CSS classes removed)
# Dynamic (template-only, unresolvable): 249
#
# count | files | icon name
# ------+-------+----------
    464 |   338 | info circle
    285 |   170 | dropdown
    242 |   176 | check
    217 |   154 | attention circle
    203 |   167 | search
    181 |   169 | close
    166 |   119 | x
    134 |   100 | right chevron divider
    133 |   114 | edit
    126 |   115 | delete
    120 |   100 | add
    100 |    94 | more
     88 |    59 | settings
     84 |    44 | lock
     84 |    63 | plus
     74 |    54 | minus
     70 |    48 | dont
     68 |    63 | right chevron
     68 |    46 | pdf file
     65 |    31 | undo
     60 |    54 | user
     56 |    46 | print
     51 |    39 | help circle
     50 |    37 | upload
     47 |    38 | checkmark
     47 |    36 | mail
     46 |    43 | remove
     46 |    36 | file
     44 |    24 | warning circle
     41 |    32 | trash
     40 |    34 | checkmark circle
     38 |    35 | policy
     37 |    33 | cancel
     35 |    32 | download
     35 |    28 | right angle
     35 |    27 | bank
     34 |    23 | title
     32 |    28 | marker
     31 |    27 | refresh
     31 |    24 | home like
     30 |    28 | signed document
     28 |    17 | safe
     27 |    24 | bug
     26 |    18 | add user
     24 |    16 | document preview
     24 |    23 | chat
     24 |    23 | bars
     24 |    21 | agent
     23 |    22 | tasks
     23 |    23 | organization
     22 |    18 | send
     22 |    18 | calendar
     22 |    21 | external
     21 |    18 | copy
     20 |    20 | exclamation circle
     20 |    20 | contract
     20 |    18 | home
     19 |    17 | deed
     19 |    18 | right caret
     19 |    12 | attention
     17 |    17 | left chevron
     17 |    16 | profile
     17 |    16 | folder
     16 |    15 | right arrow
     16 |    16 | warning
     16 |    16 | agent1
     15 |    13 | clock
     15 |    15 | alarm
     15 |     5 | shop
     14 |    11 | county
     14 |     6 | angle right
     14 |    14 | home legal
     14 |    11 | notes
     14 |    13 | audit
     14 |    14 | attach
     14 |    12 | feed
     13 |    12 | document
     13 |    10 | wait
     13 |    10 | reports
     13 |    12 | probate
     13 |    13 | pencil
     12 |    12 | warning sign
     12 |    12 | home insurance
     12 |    12 | home search3
     12 |    11 | charge
     12 |    10 | sign out
     12 |    10 | credit debit
     12 |     6 | check circle
     11 |     9 | wizard
     11 |    11 | loan
     11 |    11 | left arrow
     11 |    10 | phone
     11 |     8 | research
     11 |     7 | credit card
     11 |     5 | exclamation
     11 |    10 | document check
     11 |     8 | star
     11 |    10 | archive
     10 |    10 | code
     10 |    10 | agency
     10 |     8 | info
     10 |    10 | money
     10 |     8 | check mark
      9 |     9 | envelope
      9 |     9 | close x
      9 |     5 | loan agent
      9 |     9 | x circle
      9 |     9 | users
      9 |     4 | document package
      8 |     7 | hide
