icon,hits
leaf,49475447
shopping-bag,48264955
search,20238745
x,19137919
menu,18742736
car,12598183
external-link,12580648
credit-card,12559136
file-text,12531503
calendar,12517052
calculator,12507632
arrow-right,7990149
gift,7120748
plus,2267466
user,2245494
eye,1801144
video,1727301
clapperboard,1712107
loader-circle,1696278
star,1674477
chevron-right,1635617
chevron-left,1601962
share-2,1534163
circle-question-mark,1496877
circle-user,1433541
lock,1418259
thumbs-up,1415532
gem,1414715
shuffle,1406596
bookmark-plus,1226199
users,1086530
play,945281
minus,741060
sparkles,736580
cloud-rain,602299
cloud,601619
umbrella,600556
star-off,599119
arrow-up,593503
gauge,592205
droplets,590630
wind,588112
thermometer,587847
circle-gauge,585472
chevron-down,544249
map-pin,447091
cloud-rain-wind,391490
heart-plus,356249
moon,351874
sun,290788
mail,258062
trash-2,236992
info,194659
brain,187384
flag,183537
book-open,179731
facebook,178942
arrow-left,175363
check,170855
calendar-check,161402
key,155747
chrome,145423
cloud-sun,143502
baby,139956
heart-pulse,137766
calendar-days,136611
egg,135861
calendar-clock,135040
calendar-search,134433
messages-square,125045
loader,121522
arrow-up-right,117908
share,115893
user-check,114098
clipboard-list,111179
cloud-fog,110110
cloud-drizzle,109730
rocket,109582
megaphone,105866
phone,105358
book-text,104687
heart-handshake,102317
arrow-down,100947
briefcase-business,97426
hand-heart,97254
pen-line,96409
message-circle-question,94060
cloud-snow,87397
ban,73300
settings,73044
bed,67716
shopping-cart,66205
printer,65779
smartphone,64859
maximize-2,64137
bed-double,63587
bath,62317
pie-chart,58394
headphones,57255
feather,55364
activity,51221
palette,50621
briefcase,47221
wallet,46824
zap,45597
shield-check,43937
cloud-lightning,42266
graduation-cap,41805
list-checks,41393
download,41116
clock,38132
home,38084
linkedin,37971
handshake,35373
history,34715
book,33604
globe,33531
music,32860
instagram,31912
award,31764
chevron-up,30970
trending-up,29665
message-square,29400
heart,29383
brain-cog,27263
a-arrow-down,24713
shield,24238
message-circle-more,24205
settings-2,24150
log-out,23908
shield-off,23867
upload,23573
image,23085
message-circle,23011
a-arrow-up,22529
package,21986
building,21982
upload-cloud,21814
send,21735
help-circle,21646
layout-dashboard,21237
check-circle,21128
cable,20215
airplay,20100
alarm-smoke,20052
link,19763
book-heart,19747
a-large-small,19629
edit,19342
server,19297
audio-waveform,18352
air-vent,18150
apple,18089
bar-chart-2,17721
audio-lines,17622
app-window,17436
gamepad-2,17374
circle,17339
code,17289
bell,17267
dollar-sign,17266
layers,17067
accessibility,16982
type,16941
list,16793
copy,16524
volume-2,16395
chevrons-up,16315
bar-chart,16284
alert-triangle,16071
book-check,15998
ampersand,15959
layout-grid,15909
bot,15655
book-a,15567
alarm-clock-off,15390
book-open-check,15074
cog,14987
ampersands,14775
mic,14702
file,14448
refresh-cw,14360
smile,14256
wrench,14187
github,14179
plug,14081
camera,14051
scale,13984
database,13954
alarm-clock-check,13952
binoculars,13793
trash,13532
building-2,13364
tag,13216
book-marked,13118
landmark,13107
flame,13035
alarm-clock,12903
badge-dollar-sign,12874
archive,12843
bar-chart-3,12804
refresh-ccw,12695
align-horizontal-distribute-center,12682
circle-check,12671
brick-wall-shield,12448
key-round,12402
shield-alert,12358
armchair,12165
app-window-mac,12154
align-end-horizontal,12079
align-horizontal-distribute-start,12055
eye-off,12014
book-alert,11996
arrow-down-from-line,11969
clipboard-check,11819
bug,11779
play-circle,11664
save,11646
badge-cent,11628
book-copy,11553
arrow-big-up,11492
archive-restore,11362
arrow-big-up-dash,11315
bandage,11310
ambulance,11310
alarm-clock-minus,11291
anvil,11287
book-type,11246
grid-3x3,11223
align-horizontal-space-around,11030
paperclip,11019
compass,11008
arrow-down-up,11007
align-horizontal-space-between,10981
ticket,10951
target,10917
align-vertical-distribute-start,10890
align-horizontal-distribute-end,10883
antenna,10869
edit-3,10828
badge-indian-rupee,10759
align-center-horizontal,10715
align-start-horizontal,10711
badge-pound-sterling,10644
arrow-up-from-line,10625
archive-x,10598
chart-candlestick,10582
coffee,10481
badge-japanese-yen,10438
brush-cleaning,10397
book-open-text,10393
badge-euro,10390
pencil,10387
arrow-right-from-line,10365
aperture,10349
arrow-down-to-line,10276
quote,10214
align-vertical-justify-start,10157
arrow-left-from-line,10086
book-x,9964
cpu,9916
arrow-big-right,9912
banknote-arrow-down,9819
badge-check,9797
axe,9773
rose,9754
brain-circuit,9701
arrow-right-to-line,9684
link-2,9640
amphora,9622
layout-template,9572
scissors,9571
bottle-wine,9566
camera-off,9524
align-horizontal-justify-start,9497
book-image,9450
x-circle,9445
folder,9441
venus,9436
percent,9404
package-check,9398
layout-list,9392
lightbulb,9392
badge-percent,9369
truck,9361
album,9333
circle-x,9291
badge-russian-ruble,9284
image-play,9261
square,9260
indian-rupee,9224
arrow-down-0-1,9224
arrow-right-left,9196
filter,9173
grid-2x2,9110
code-2,9098
list-ordered,9045
circle-plus,9001
arrow-up-down,8932
align-center-vertical,8927
balloon,8920
banknote-arrow-up,8891
waves,8886
arrow-big-left,8866
banknote-x,8849
arrow-big-down-dash,8815
barcode,8810
align-vertical-distribute-end,8799
shell,8730
box,8727
card-sim,8725
bell-electric,8686
timer,8629
newspaper,8584
arrows-up-from-line,8556
battery-plus,8536
alert-circle,8530
badge-swiss-franc,8516
align-vertical-distribute-center,8515
rotate-ccw,8499
more-vertical,8490
arrow-down-1-0,8490
align-end-vertical,8484
circle-ellipsis,8478
align-vertical-justify-end,8450
shield-half,8312
asterisk,8310
search-check,8302
align-horizontal-justify-center,8227
dog,8193
book-user,8193
badge-turkish-lira,8170
sticker,8164
between-horizontal-start,8137
arrow-down-a-z,8085
tv,8041
brick-wall-fire,8010
thumbs-down,7979
bolt,7978
map,7941
book-headphones,7922
chevrons-left-right-ellipsis,7887
align-horizontal-justify-end,7882
cake-slice,7863
arrow-up-to-line,7853
youtube,7843
arrow-left-right,7809
user-plus,7808
align-start-vertical,7794
chart-no-axes-gantt,7787
presentation,7748
book-plus,7735
arrow-big-down,7733
at-sign,7687
arrow-big-right-dash,7638
sun-snow,7627
columns-4,7599
arrow-down-to-dot,7598
book-audio,7577
bike,7547
figma,7541
align-vertical-space-around,7525
arrow-left-to-line,7523
paw-print,7497
contact,7485
atom,7449
align-vertical-space-between,7398
between-vertical-start,7365
baggage-claim,7329
twitter,7310
cast,7284
terminal,7268
arrow-down-z-a,7210
tent,7208
arrow-down-narrow-wide,7185
align-vertical-justify-center,7171
alarm-clock-plus,7162
log-in,7159
droplet,7142
images,7140
rotate-cw,7128
blend,7070
ethernet-port,7067
layout,6990
bell-off,6969
between-horizontal-end,6969
check-circle-2,6937
arrow-big-left-dash,6931
list-plus,6906
battery-charging,6888
arrow-up-0-1,6865
image-off,6838
folder-open,6836
bean-off,6818
hat-glasses,6818
bug-off,6817
blocks,6800
undo,6799
rectangle-ellipsis,6770
flask-conical,6729
book-dashed,6714
bone,6693
arrow-down-wide-narrow,6688
arrow-up-1-0,6676
circle-off,6667
biceps-flexed,6649
