icon,imports
trending-up,56
chevron-right,20
more-horizontal,17
chevron-down,17
check,16
plus,16
gallery-vertical-end,14
search,13
chevrons-up-down,11
trash2,10
send,10
italic,10
frame,9
map,9
pie-chart,9
badge-check,9
credit-card,9
life-buoy,9
calendar,9
bell,8
sparkles,8
underline,7
command,6
settings2,6
log-out,6
bold,6
arrow-up,5
x,5
circle,5
minus,4
bot,4
folder,4
inbox,4
home,4
link,4
arrow-up-right,4
settings,4
info,4
audio-waveform,3
book-open,3
square-terminal,3
share,3
star,3
alert-circle,3
arrow-left,3
arrow-right,3
chevron-left,3
file,2
blocks,2
message-circle-question,2
copy,2
trash,2
star-off,2
slash,2
calculator,2
smile,2
user,2
loader,2
circle-check,2
bookmark,2
chevron-up,2
loader2,2
forward,1
archive-x,1
arrow-down,1
corner-up-left,1
corner-up-right,1
file-text,1
line-chart,1
globe,1
keyboard,1
lock,1
menu,1
message-circle,1
paintbrush,1
video,1
sidebar,1
trending-down,1
activity,1
git-commit-vertical,1
arrow-down-from-line,1
arrow-up-from-line,1
footprints,1
waves,1
check-circle2,1
popcorn,1
archive,1
calendar-plus,1
clock,1
list-filter,1
mail-check,1
tag,1
alert-triangle,1
user-round-x,1
volume-off,1
audio-lines,1
circle-fading-arrow-up,1
arrow-up-down,1
refresh-ccw,1
link2,1
mail,1
help-circle,1
shield-alert,1
external-link,1
moon,1
sun,1
circle-help,1
app-window,1
code,1
heart,1
panel-left-close,1
panel-left-open,1
grip-vertical,1
panel-left,1
octagon-x,1
triangle-alert,1
