uses,files,similarity,corpus_icon,best_match
1,1,0.45,tripadvisor,filled-circle
4,4,0.50,bullseye,fullscreen
4,3,0.50,hospital,hash
2,1,0.50,bomb,home
1,1,0.50,announcement,clipboard
1,1,0.50,bullhorn,fullscreen
1,1,0.50,safari,share
2,2,0.57,privacy,tag
1,1,0.57,student,indent
1,1,0.57,browser,sidebar
1,1,0.57,certificate,contacts
1,1,0.57,firefox,fire
1,1,0.58,pointing right,fullscreen
47,38,0.58,checkmark,checkbox
1,1,0.59,sort content descending,sort
15,15,0.60,alarm,warning
13,10,0.60,wait,brush
7,7,0.60,write,tag
2,1,0.60,blind,link
2,2,0.63,linkify,unlink
1,1,0.63,level up,up
1,1,0.63,chain,charging
1,1,0.64,sort content ascending,sort
1,1,0.64,sort numeric ascending,sort
1,1,0.64,internet explorer,compass
19,12,0.67,attention,at
6,6,0.67,configure,check
2,2,0.67,rocket,lock
1,1,0.67,usd,usb
1,1,0.67,unmute,mute
1,1,0.67,chrome,home
8,6,0.70,empty star,star
1,1,0.70,angle down,down
5,4,0.71,content,comment
70,48,0.75,dont,check
44,24,0.75,warning circle,warning
20,20,0.75,exclamation circle,warning
14,6,0.75,angle right,toggle
6,6,0.75,pause circle,avatar
4,2,0.75,line graph,network
2,2,0.75,cogs,settings
1,1,0.75,minus circle,file-remove
1,1,0.77,remove bookmark,bookmark
1,1,0.77,question circle,help
7,1,0.77,remove circle,file-remove
7,3,0.77,plus circle,empty-circle
6,6,0.77,play circle,empty-circle
2,2,0.77,list layout,columns
8,8,0.79,zoom,zoom-in
12,12,0.79,warning sign,warning
4,3,0.79,options,more-options
3,2,0.80,add circle,empty-circle
2,2,0.80,cubes,package
2,2,0.80,add square,checkbox-empty
11,5,0.81,exclamation,security
22,21,0.81,external,external-link
1,1,0.82,hourglass half,timer
24,23,0.83,bars,menu
6,3,0.86,qrcode,qr-code
1,1,0.88,setting,settings
464,338,1.00,info circle,info
285,170,1.00,dropdown,chevron-down
242,176,1.00,check,check
203,167,1.00,search,search
181,169,1.00,close,close
166,119,1.00,x,close
133,114,1.00,edit,edit
126,115,1.00,delete,delete
120,100,1.00,add,add
88,59,1.00,settings,settings
84,44,1.00,lock,lock
84,63,1.00,plus,add
74,54,1.00,minus,minus
65,31,1.00,undo,undo
60,54,1.00,user,user
56,46,1.00,print,print
51,39,1.00,help circle,help
50,37,1.00,upload,upload
47,36,1.00,mail,email
46,43,1.00,remove,minus
46,36,1.00,file,file
41,32,1.00,trash,delete
37,33,1.00,cancel,close
35,32,1.00,download,download
32,28,1.00,marker,location
31,27,1.00,refresh,refresh
27,24,1.00,bug,bug
26,18,1.00,add user,add-user
24,23,1.00,chat,chat
23,22,1.00,tasks,tasks
22,18,1.00,send,send
22,18,1.00,calendar,calendar
21,18,1.00,copy,copy
20,18,1.00,home,home
17,16,1.00,folder,folder
16,16,1.00,warning,warning
15,13,1.00,clock,time
15,5,1.00,shop,store
14,14,1.00,attach,attachment
14,12,1.00,feed,rss
13,13,1.00,pencil,edit
12,10,1.00,sign out,logout
12,6,1.00,check circle,success
11,9,1.00,wizard,wand
11,10,1.00,phone,mobile
11,7,1.00,credit card,payment
11,8,1.00,star,star
11,10,1.00,archive,archive
10,10,1.00,code,code
10,8,1.00,info,info
10,10,1.00,money,money
9,9,1.00,envelope,email
9,9,1.00,users,users
8,7,1.00,hide,hide
8,6,1.00,eye,view
8,5,1.00,filter,filter
8,7,1.00,building,company
8,8,1.00,list,list
8,6,1.00,help,help
8,8,1.00,payment,payment
7,3,1.00,dollar,money
7,4,1.00,line chart,chart-line
7,7,1.00,exchange,swap
7,6,1.00,caret down,chevron-down
7,7,1.00,sidebar,sidebar
6,6,1.00,history,history
6,5,1.00,circle,empty-circle
6,5,1.00,caret up,chevron-up
6,4,1.00,indent,indent
6,5,1.00,magic,sparkles
6,6,1.00,table,table
5,5,1.00,save,bookmark
5,2,1.00,share,share
5,5,1.00,exclamation triangle,warning
5,4,1.00,video,video
5,4,1.00,chevron right,chevron-right
5,2,1.00,cube,package
5,3,1.00,camera,camera
4,4,1.00,sign in,login
4,4,1.00,file text,document
4,4,1.00,repeat,repeat
4,4,1.00,at,at
4,4,1.00,ban,block
4,4,1.00,world,globe
4,3,1.00,outdent,outdent
4,3,1.00,mobile,mobile
4,1,1.00,cart,cart
4,4,1.00,cloud download,cloud-download
4,3,1.00,comment,comment
3,3,1.00,maximize,fullscreen
3,3,1.00,unlock,unlock
3,3,1.00,cloud upload,cloud-upload
3,3,1.00,question,help
3,3,1.00,flag,flag
3,2,1.00,photo,image
3,3,1.00,minimize,exit-fullscreen
3,3,1.00,folder open,open-folder
3,3,1.00,microphone,microphone
3,2,1.00,sun,light-mode
2,2,1.00,font,type
2,2,1.00,clone,copy
2,2,1.00,remove user,remove-user
2,2,1.00,arrow up,up
2,2,1.00,arrow down,down
2,2,1.00,time,time
2,2,1.00,heart,like
2,2,1.00,log out,logout
2,2,1.00,group,users
2,2,1.00,target,target
2,2,1.00,chevron up,chevron-up
2,2,1.00,chevron down,chevron-down
2,1,1.00,caret right,chevron-right
2,2,1.00,ordered list,numbered-list
2,2,1.00,database,database
2,1,1.00,newspaper,news
2,2,1.00,pie chart,chart-pie
2,1,1.00,key,key
2,2,1.00,bar chart,chart-bar
