icon_name,is_alias,tags
a-arrow-down,no,letter; font size; text; formatting; smaller
a-arrow-up,no,letter; font size; text; formatting; larger; bigger
a-large-small,no,letter; font size; text; formatting
accessibility,no,disability; disabled; dda; wheelchair
activity,no,pulse; action; motion; movement; exercise; fitness; healthcare; heart rate monitor; vital signs; vitals; emergency room; er; intensive care; hospital; defibrillator; earthquake; siesmic; magnitude; richter scale; aftershock; tremor; shockwave; audio; waveform; synthesizer; synthesiser; music
activity-square,yes,
air-vent,no,air conditioner; ac; central air; cooling; climate-control
airplay,no,stream; cast; mirroring; screen; monitor; macos; osx
alarm-check,yes,
alarm-clock,no,morning
alarm-clock-check,no,done; todo; tick; complete; task
alarm-clock-minus,no,remove
alarm-clock-off,no,morning; turn-off
alarm-clock-plus,no,add
alarm-minus,yes,
alarm-plus,yes,
alarm-smoke,no,fire; alert; warning; detector; carbon monoxide; safety; equipment; amenities
album,no,photo; book
alert-circle,yes,
alert-octagon,yes,
alert-triangle,yes,
align-center,yes,
align-center-horizontal,no,items; flex; justify
align-center-vertical,no,items; flex; justify
align-end-horizontal,no,items; bottom; flex; justify
align-end-vertical,no,items; right; flex; justify
align-horizontal-distribute-center,no,items; flex; justify; space; evenly; around
align-horizontal-distribute-end,no,right; items; flex; justify
align-horizontal-distribute-start,no,left; items; flex; justify
align-horizontal-justify-center,no,center; items; flex; justify
align-horizontal-justify-end,no,right; items; flex; justify
align-horizontal-justify-start,no,left; items; flex; justify
align-horizontal-space-around,no,center; items; flex; justify; distribute; between
align-horizontal-space-between,no,around; items; bottom; flex; justify
align-justify,yes,
align-left,yes,
align-right,yes,
align-start-horizontal,no,top; items; flex; justify
align-start-vertical,no,left; items; flex; justify
align-vertical-distribute-center,no,items; flex; justify; space; evenly; around
align-vertical-distribute-end,no,bottom; items; flex; justify
align-vertical-distribute-start,no,top; items; flex; justify
align-vertical-justify-center,no,center; items; flex; justify; distribute; between
align-vertical-justify-end,no,bottom; items; flex; justify; distribute; between
align-vertical-justify-start,no,top; items; flex; justify; distribute; between
align-vertical-space-around,no,center; items; flex; justify; distribute; between
align-vertical-space-between,no,center; items; flex; justify; distribute; between
ambulance,no,ambulance; emergency; medical; vehicle; siren; healthcare; transportation; rescue; urgent; first aid
ampersand,no,and; typography; operator; join; concatenate; code; &
ampersands,no,and; operator; then; code; &&
amphora,no,pottery; artifact; artefact; vase; ceramics; clay; archaeology; museum; wine; oil
anchor,no,ship
angry,no,emoji; anger; face; emotion
annoyed,no,emoji; nuisance; face; emotion
antenna,no,signal; connection; connectivity; tv; television; broadcast; live; frequency; tune; scan; channels; aerial; receiver; transmission; transducer; terrestrial; satellite; cable
anvil,no,metal; iron; alloy; materials; heavy; weight; blacksmith; forge; acme
aperture,no,camera; photo; pictures; shutter; exposure
app-window,no,application; menu bar; pane; executable
app-window-mac,no,application; menu bar; pane; preferences; macos; osx; executable
apple,no,fruit; food; healthy; snack; nutrition; fresh; produce; grocery; organic; harvest; vitamin; red; green; juicy; sweet; tart; bite; orchard; plant; core; raw; diet
archive,no,index; backup; box; storage; records
archive-restore,no,unarchive; index; backup; box; storage; records
archive-x,no,index; backup; box; storage; records; junk
area-chart,yes,
armchair,no,sofa; furniture; leisure; lounge; loveseat; couch
arrow-big-down,no,backwards; reverse; direction; south
arrow-big-down-dash,no,backwards; reverse; slow; direction; south; download
arrow-big-left,no,previous; back; direction; west; indicate turn
arrow-big-left-dash,no,previous; back; direction; west; turn; corner
arrow-big-right,no,next; forward; direction; east; indicate turn
arrow-big-right-dash,no,next; forward; direction; east; turn; corner
arrow-big-up,no,shift; keyboard; button; mac; capitalize; capitalise; forward; direction; north
arrow-big-up-dash,no,caps lock; capitals; keyboard; button; mac; forward; direction; north; faster; speed; boost
arrow-down,no,backwards; reverse; direction; south
arrow-down-0-1,no,filter; sort; ascending; descending; increasing; decreasing; rising; falling; numerical
arrow-down-01,yes,
arrow-down-1-0,no,filter; sort; ascending; descending; increasing; decreasing; rising; falling; numerical
arrow-down-10,yes,
arrow-down-a-z,no,filter; sort; ascending; descending; increasing; decreasing; rising; falling; alphabetical
arrow-down-az,yes,
arrow-down-circle,yes,
arrow-down-from-line,no,backwards; reverse; direction; south; download; expand; fold; vertical
arrow-down-left,no,direction; south-west; diagonal
arrow-down-left-from-circle,yes,
arrow-down-left-from-square,yes,
arrow-down-left-square,yes,
arrow-down-narrow-wide,no,filter; sort; ascending; descending; increasing; decreasing; rising; falling
arrow-down-right,no,direction; south-east; diagonal
arrow-down-right-from-circle,yes,
arrow-down-right-from-square,yes,
arrow-down-right-square,yes,
arrow-down-square,yes,
arrow-down-to-dot,no,direction; south; waypoint; location; step; into
arrow-down-to-line,no,behind; direction; south; download; save; git; version control; pull; collapse; fold; vertical
arrow-down-up,no,bidirectional; two-way; 2-way; swap; switch; network; traffic; flow; mobile data; internet; sort; reorder; move
arrow-down-wide-narrow,no,filter; sort; ascending; descending; increasing; decreasing; rising; falling
arrow-down-z-a,no,filter; sort; ascending; descending; increasing; decreasing; rising; falling; alphabetical; reverse
arrow-down-za,yes,
arrow-left,no,previous; back; direction; west; <-
arrow-left-circle,yes,
arrow-left-from-line,no,previous; back; direction; west; expand; fold; horizontal; <-|
arrow-left-right,no,bidirectional; two-way; 2-way; swap; switch; transaction; reorder; move; <-; ->
arrow-left-square,yes,
arrow-left-to-line,no,previous; back; direction; west; collapse; fold; horizontal; |<-
arrow-right,no,forward; next; direction; east; ->
arrow-right-circle,yes,
arrow-right-from-line,no,next; forward; direction; east; export; expand; fold; horizontal; |->
arrow-right-left,no,bidirectional; two-way; 2-way; swap; switch; transaction; reorder; move; <-; ->
arrow-right-square,yes,
arrow-right-to-line,no,next; forward; direction; east; tab; keyboard; mac; indent; collapse; fold; horizontal; ->|
arrow-up,no,forward; direction; north
arrow-up-0-1,no,filter; sort; ascending; descending; increasing; decreasing; rising; falling; numerical
arrow-up-01,yes,
arrow-up-1-0,no,filter; sort; ascending; descending; increasing; decreasing; rising; falling; numerical
arrow-up-10,yes,
arrow-up-a-z,no,filter; sort; ascending; descending; increasing; decreasing; rising; falling; alphabetical
